,location,size,total_sqft,bath,price,bhk,price_per_sqrt
905,CV Raman Nagar,2 BHK,1040.0,2.0,50.0,2,4807.692307692308
906,CV Raman Nagar,2 BHK,1392.0,2.0,95.0,2,6824.712643678161
907,CV Raman Nagar,1 BHK,705.0,2.0,50.0,1,7092.198581560284
908,CV Raman Nagar,3 BHK,1400.0,2.0,78.0,3,5571.428571428572
909,CV Raman Nagar,3 BHK,1400.0,2.0,78.0,3,5571.428571428572
910,CV Raman Nagar,2 BHK,907.0,2.0,38.0,2,4189.636163175303
911,CV Raman Nagar,2 BHK,1310.0,2.0,62.0,2,4732.824427480916
912,Chamrajpet,3 BHK,1475.0,2.0,120.0,3,8135.593220338983
913,Chamrajpet,4 BHK,1900.0,2.0,170.0,4,8947.368421052632
914,Chamrajpet,2 BHK,1350.0,2.0,180.0,2,13333.333333333334
915,Chamrajpet,4 Bedroom,1660.4,4.0,211.0,4,12707.781257528306
916,Chamrajpet,2 BHK,730.0,1.0,52.0,2,7123.287671232877
917,Chamrajpet,2 BHK,650.0,2.0,45.0,2,6923.076923076923
918,Chamrajpet,3 BHK,1650.0,3.0,115.0,3,6969.69696969697
919,Chandapura,2 BHK,650.0,1.0,17.0,2,2615.3846153846152
920,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
921,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
923,Chandapura,2 BHK,1200.0,2.0,32.0,2,2666.6666666666665
924,Chandapura,2 BHK,1025.0,2.0,27.68,2,2700.487804878049
925,Chandapura,1 BHK,582.5,1.0,15.135,1,2598.283261802575
927,Chandapura,3 BHK,1065.0,2.0,33.0,3,3098.5915492957747
928,Chandapura,2 BHK,850.0,2.0,25.4,2,2988.235294117647
929,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
931,Chandapura,1 BHK,520.0,1.0,14.04,1,2700.0
932,Chandapura,2 Bedroom,1200.0,1.0,36.0,2,3000.0
934,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
936,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
938,Chandapura,2 BHK,700.0,1.0,19.0,2,2714.285714285714
939,Chandapura,3 BHK,1095.0,2.0,32.0,3,2922.3744292237443
940,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
941,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
942,Chandapura,2 BHK,937.0,2.0,30.0,2,3201.7075773745996
943,Chandapura,2 BHK,1025.0,2.0,27.68,2,2700.487804878049
945,Chandapura,2 BHK,800.0,2.0,25.0,2,3125.0
946,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
947,Chandapura,2 BHK,778.0,2.0,25.29,2,3250.642673521851
948,Chandapura,2 BHK,950.0,2.0,25.65,2,2700.0
949,Chandapura,2 Bedroom,1200.0,2.0,36.0,2,3000.0
950,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
951,Chandapura,2 BHK,674.0,1.0,19.9,2,2952.522255192878
953,Chandapura,2 BHK,1025.0,2.0,27.68,2,2700.487804878049
955,Chandapura,3 BHK,1345.0,2.0,39.5,3,2936.8029739776953
956,Chandapura,3 BHK,1033.0,2.0,30.47,3,2949.6611810261375
959,Chandapura,1 BHK,520.0,1.0,14.04,1,2700.0
960,Chandapura,3 BHK,1323.0,2.0,42.0,3,3174.6031746031745
961,Chandapura,1 BHK,410.0,1.0,10.0,1,2439.0243902439024
963,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
964,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
965,Chandapura,2 Bedroom,1200.0,2.0,36.0,2,3000.0
966,Chandapura,2 BHK,740.0,1.0,22.0,2,2972.972972972973
967,Chandapura,2 BHK,876.0,2.0,28.47,2,3250.0
968,Chandapura,1 BHK,520.0,1.0,14.04,1,2700.0
969,Channasandra,2 BHK,1009.0,2.0,38.34,2,3799.8017839445
970,Channasandra,2 BHK,1065.0,2.0,35.0,2,3286.3849765258215
971,Channasandra,2 BHK,1030.0,2.0,34.5,2,3349.5145631067962
972,Channasandra,6 Bedroom,4200.0,6.0,180.0,6,4285.714285714285
973,Channasandra,2 BHK,1115.0,2.0,40.0,2,3587.4439461883408
974,Channasandra,2 BHK,1104.0,2.0,35.5,2,3215.5797101449275
975,Channasandra,2 BHK,1160.0,2.0,55.0,2,4741.379310344828
976,Channasandra,2 BHK,1050.0,2.0,41.0,2,3904.7619047619046
977,Channasandra,2 BHK,1065.0,2.0,40.47,2,3800.0
978,Channasandra,2 BHK,1070.0,2.0,38.0,2,3551.4018691588785
979,Channasandra,2 BHK,1050.0,2.0,35.0,2,3333.3333333333335
980,Channasandra,2 BHK,1093.0,2.0,34.0,2,3110.704483074108
981,Channasandra,2 BHK,1010.0,2.0,36.0,2,3564.3564356435645
982,Channasandra,2 BHK,1123.0,2.0,36.0,2,3205.699020480855
983,Channasandra,2 BHK,1000.0,2.0,35.0,2,3500.0
984,Channasandra,3 BHK,1330.0,2.0,51.83,3,3896.9924812030076
985,Channasandra,2 BHK,1093.0,2.0,37.0,2,3385.1784080512352
986,Channasandra,2 BHK,1115.0,2.0,35.8,2,3210.7623318385645
987,Channasandra,3 Bedroom,1500.0,3.0,61.95,3,4130.0
988,Channasandra,2 BHK,830.0,2.0,36.28,2,4371.084337349397
989,Channasandra,3 BHK,1195.0,2.0,56.0,3,4686.192468619247
990,Channasandra,2 BHK,1175.0,2.0,38.0,2,3234.0425531914893
991,Channasandra,2 Bedroom,1200.0,2.0,46.13,2,3844.1666666666665
992,Channasandra,2 BHK,1065.0,2.0,36.0,2,3380.281690140845
993,Channasandra,2 BHK,1050.0,2.0,44.41,2,4229.523809523809
994,Channasandra,2 BHK,1010.0,2.0,32.0,2,3168.3168316831684
995,Chikka Tirupathi,4 Bedroom,2600.0,5.0,120.0,4,4615.384615384615
996,Chikka Tirupathi,3 Bedroom,1808.0,4.0,80.27,3,4439.712389380531
997,Chikka Tirupathi,3 Bedroom,3297.0,3.0,135.0,3,4094.631483166515
998,Chikka Tirupathi,4 Bedroom,3500.0,5.0,150.0,4,4285.714285714285
999,Chikka Tirupathi,3 Bedroom,2325.0,3.0,95.0,3,4086.021505376344
1000,Chikka Tirupathi,4 Bedroom,3250.0,4.0,136.0,4,4184.615384615385
1001,Chikka Tirupathi,4 Bedroom,2665.0,5.0,125.0,4,4690.431519699812
1002,Chikkabanavar,2 BHK,950.0,2.0,40.0,2,4210.526315789473
1003,Chikkabanavar,2 BHK,600.0,1.0,25.0,2,4166.666666666667
1004,Chikkabanavar,4 Bedroom,2460.0,7.0,80.0,4,3252.032520325203
1005,Chikkabanavar,5 Bedroom,2400.0,4.0,97.0,5,4041.6666666666665
1006,Chikkabanavar,5 Bedroom,2000.0,4.0,65.0,5,3250.0
1007,Chikkabanavar,2 BHK,1067.0,2.0,38.0,2,3561.3870665417057
1008,Chikkabanavar,3 BHK,1320.0,2.0,46.0,3,3484.848484848485
1009,Chikkalasandra,2 BHK,1100.0,2.0,50.0,2,4545.454545454545
1010,Chikkalasandra,2 BHK,1208.0,2.0,49.0,2,4056.291390728477
1011,Chikkalasandra,2 BHK,1070.0,2.0,50.0,2,4672.897196261682
1012,Chikkalasandra,2 BHK,1230.0,2.0,48.0,2,3902.439024390244
1013,Chikkalasandra,3 BHK,1428.0,2.0,80.0,3,5602.240896358543
1014,Chikkalasandra,2 BHK,1070.0,2.0,42.8,2,4000.0
1015,Chikkalasandra,2 BHK,1075.0,2.0,46.76,2,4349.767441860465
1016,Chikkalasandra,2 BHK,1070.0,2.0,45.48,2,4250.467289719626
1017,Chikkalasandra,2 BHK,1100.0,2.0,50.0,2,4545.454545454545
1018,Chikkalasandra,2 BHK,1090.0,2.0,47.42,2,4350.45871559633
1019,Chikkalasandra,2 BHK,1325.0,2.0,59.0,2,4452.830188679245
1020,Chikkalasandra,2 BHK,1290.0,2.0,72.0,2,5581.395348837209
1021,Choodasandra,2 BHK,1115.0,2.0,50.0,2,4484.304932735426
1022,Choodasandra,2 BHK,1300.0,2.0,57.0,2,4384.615384615385
1023,Choodasandra,3 BHK,1530.0,3.0,77.0,3,5032.679738562091
1024,Choodasandra,2 BHK,1197.0,2.0,63.0,2,5263.1578947368425
1025,Choodasandra,3 BHK,1465.0,3.0,75.0,3,5119.453924914676
1026,Choodasandra,2 BHK,1115.0,2.0,50.0,2,4484.304932735426
1027,Choodasandra,2 BHK,1215.0,2.0,59.0,2,4855.9670781893
1028,Choodasandra,3 BHK,1254.0,2.0,65.0,3,5183.413078149921
1029,Choodasandra,2 BHK,725.0,2.0,36.0,2,4965.517241379311
1030,Choodasandra,2 BHK,1075.0,2.0,45.0,2,4186.046511627907
1031,Choodasandra,2 BHK,1180.0,2.0,71.22,2,6035.593220338983
1032,Choodasandra,2 BHK,1140.0,2.0,62.0,2,5438.596491228071
1033,Choodasandra,3 BHK,1560.0,3.0,78.0,3,5000.0
1034,Choodasandra,2 BHK,1065.0,2.0,46.0,2,4319.24882629108
1035,Choodasandra,2 BHK,1115.0,2.0,50.0,2,4484.304932735426
1036,Choodasandra,2 BHK,1115.0,2.0,50.0,2,4484.304932735426
1037,Cooke Town,4 BHK,3950.0,4.0,450.0,4,11392.405063291139
1038,Cooke Town,3 BHK,2388.0,4.0,239.0,3,10008.375209380234
1039,Cooke Town,2 BHK,1710.0,2.0,200.0,2,11695.906432748538
1040,Cooke Town,4 BHK,3900.0,5.0,415.0,4,10641.02564102564
1041,Cooke Town,3 BHK,2560.0,4.0,310.0,3,12109.375
1042,Cooke Town,3 BHK,2300.0,3.0,250.0,3,10869.565217391304
1043,Cox Town,3 BHK,1975.0,3.0,150.0,3,7594.93670886076
1044,Cox Town,3 BHK,1730.0,3.0,140.0,3,8092.485549132948
1045,Cox Town,3 BHK,1600.0,3.0,150.0,3,9375.0
1046,Cox Town,2 BHK,1250.0,2.0,95.0,2,7600.0
1047,Cox Town,2 BHK,1280.0,2.0,120.0,2,9375.0
1048,Cox Town,2 BHK,1073.0,2.0,72.0,2,6710.158434296365
1049,Cunningham Road,3 BHK,3875.0,3.0,864.0,3,22296.774193548386
1050,Cunningham Road,3 BHK,3875.0,3.0,800.0,3,20645.16129032258
1051,Cunningham Road,3 BHK,3815.0,3.0,763.0,3,20000.0
1052,Cunningham Road,3 BHK,3489.0,3.0,662.0,3,18973.91802808828
1053,Cunningham Road,3 BHK,4170.0,3.0,800.0,3,19184.65227817746
1054,Cunningham Road,3 BHK,2700.0,3.0,501.0,3,18555.555555555555
1055,Cunningham Road,3 BHK,2880.0,3.0,560.0,3,19444.444444444445
1056,Dasanapura,2 BHK,708.0,2.0,37.0,2,5225.988700564972
1057,Dasanapura,2 BHK,814.0,2.0,42.0,2,5159.7051597051595
1058,Dasanapura,3 BHK,1286.0,2.0,68.0,3,5287.713841368584
1059,Dasanapura,2 BHK,814.0,2.0,43.7,2,5368.550368550368
1060,Dasarahalli,2 BHK,1295.0,2.0,65.0,2,5019.305019305019
1061,Dasarahalli,3 BHK,2100.0,3.0,120.0,3,5714.285714285715
1062,Dasarahalli,2 BHK,1220.0,2.0,62.0,2,5081.9672131147545
1063,Devanahalli,2 BHK,1260.0,2.0,66.78,2,5300.0
1064,Devanahalli,3 BHK,1282.0,2.0,68.52,3,5344.773790951638
1065,Devanahalli,2 BHK,1360.0,2.0,65.0,2,4779.411764705882
1066,Devanahalli,2 BHK,1010.0,2.0,51.0,2,5049.504950495049
1067,Devanahalli,2 BHK,1080.0,2.0,53.35,2,4939.814814814815
1068,Devanahalli,2 BHK,1174.0,2.0,59.0,2,5025.553662691653
1069,Devanahalli,2 BHK ,3752.5,2.0,177.115,2,4719.920053297801
1070,Devanahalli,1 BHK,658.0,1.0,34.0,1,5167.173252279636
1071,Devanahalli,2 BHK,1080.0,2.0,52.0,2,4814.814814814815
1072,Devanahalli,3 BHK,1700.0,3.0,88.2,3,5188.235294117647
1073,Devanahalli,3 BHK,1498.0,3.0,79.15,3,5283.711615487317
1074,Devanahalli,3 BHK,1466.0,3.0,77.59,3,5292.633015006822
1075,Devanahalli,1 BHK,775.0,1.0,39.0,1,5032.258064516129
1076,Devanahalli,1 BHK,1020.0,2.0,49.87,1,4889.21568627451
1077,Devanahalli,3 BHK,1550.0,3.0,85.0,3,5483.870967741936
1078,Devanahalli,2 BHK,1340.0,2.0,65.0,2,4850.746268656716
1079,Devanahalli,3 Bedroom,2125.0,3.0,107.0,3,5035.294117647059
1080,Devanahalli,1 BHK,1075.0,2.0,52.57,1,4890.232558139535
1081,Devarachikkanahalli,1 BHK,615.0,1.0,24.0,1,3902.439024390244
1082,Devarachikkanahalli,2 BHK,1230.0,2.0,58.0,2,4715.447154471544
1083,Devarachikkanahalli,3 BHK,1425.0,2.0,65.0,3,4561.403508771929
1084,Devarachikkanahalli,2 BHK,947.0,2.0,43.0,2,4540.654699049631
1085,Devarachikkanahalli,3 BHK,1417.0,2.0,76.0,3,5363.443895553987
1086,Devarachikkanahalli,2 BHK,1230.0,2.0,58.0,2,4715.447154471544
1087,Devarachikkanahalli,3 BHK,1705.0,3.0,75.0,3,4398.826979472141
1088,Devarachikkanahalli,2 BHK,1116.0,2.0,47.0,2,4211.469534050179
1089,Devarachikkanahalli,2 BHK,991.0,2.0,40.0,2,4036.326942482341
1090,Dodda Nekkundi,2 BHK,1260.0,2.0,55.0,2,4365.079365079365
1091,Dodda Nekkundi,2 BHK,1390.0,2.0,60.0,2,4316.546762589928
1092,Dodda Nekkundi,2 BHK,1080.0,2.0,50.0,2,4629.62962962963
1093,Dodda Nekkundi,2 BHK,1100.0,2.0,48.0,2,4363.636363636364
1094,Dodda Nekkundi,2 BHK,1100.0,2.0,41.15,2,3740.909090909091
1095,Dodda Nekkundi,3 BHK,1252.0,2.0,71.0,3,5670.926517571885
1096,Dodda Nekkundi,2 BHK,1155.0,2.0,46.0,2,3982.683982683983
1097,Dodda Nekkundi,2 BHK,1128.0,2.0,45.0,2,3989.3617021276596
1098,Dodda Nekkundi,2 BHK,1148.0,2.0,56.0,2,4878.048780487805
1099,Dodda Nekkundi,2 BHK,1145.0,2.0,46.5,2,4061.1353711790393
1100,Dodda Nekkundi,2 BHK,1100.0,2.0,41.16,2,3741.8181818181815
1101,Dodda Nekkundi,2 BHK,1100.0,2.0,46.75,2,4250.0
1102,Dodda Nekkundi,2 BHK,1315.0,2.0,50.0,2,3802.2813688212927
1103,Dodda Nekkundi,2 BHK,1135.0,2.0,58.0,2,5110.132158590309
1104,Dodda Nekkundi,2 BHK,1100.0,2.0,41.18,2,3743.6363636363635
1105,Dodda Nekkundi,2 BHK,1370.0,2.0,60.0,2,4379.56204379562
1106,Dodda Nekkundi,3 BHK,1585.0,2.0,79.0,3,4984.22712933754
1107,Dodda Nekkundi,2 BHK,1005.0,2.0,45.0,2,4477.611940298508
1108,Dodda Nekkundi,2 BHK,1264.0,2.0,52.0,2,4113.9240506329115
1109,Doddaballapur,4 Bedroom,4200.0,4.0,325.0,4,7738.0952380952385
1110,Doddaballapur,3 Bedroom,3876.0,3.0,300.0,3,7739.938080495356
1111,Doddaballapur,3 Bedroom,2776.0,4.0,195.0,3,7024.495677233429
1112,Doddaballapur,4 Bedroom,2400.0,3.0,200.0,4,8333.333333333334
1113,Doddaballapur,1 BHK,654.0,1.0,49.0,1,7492.354740061162
1114,Doddakallasandra,2 BHK,1010.0,2.0,40.39,2,3999.009900990099
1115,Doddakallasandra,2 BHK,1010.0,2.0,40.39,2,3999.009900990099
1116,Doddakallasandra,2 BHK,1072.0,2.0,42.87,2,3999.0671641791046
1117,Doddakallasandra,2 BHK,1010.0,2.0,40.4,2,4000.0
1118,Doddakallasandra,2 BHK,1072.0,2.0,42.87,2,3999.0671641791046
1119,Doddathoguru,2 BHK,970.0,2.0,33.0,2,3402.061855670103
1120,Doddathoguru,2 BHK,1030.0,2.0,42.0,2,4077.669902912621
1121,Doddathoguru,3 BHK,1549.0,3.0,65.0,3,4196.255648805681
1122,Doddathoguru,2 BHK,1015.0,2.0,33.5,2,3300.4926108374384
1123,Doddathoguru,2 BHK,1104.0,2.0,39.0,2,3532.608695652174
1124,Doddathoguru,2 BHK,915.0,2.0,32.0,2,3497.2677595628415
1125,Doddathoguru,1 BHK,750.0,1.0,25.5,1,3400.0
1126,Doddathoguru,3 BHK,1595.0,3.0,62.0,3,3887.1473354231975
1127,Doddathoguru,2 BHK,855.0,2.0,32.0,2,3742.690058479532
1128,Doddathoguru,2 BHK,925.0,2.0,30.0,2,3243.2432432432433
1129,Doddathoguru,3 BHK,1208.0,3.0,45.0,3,3725.1655629139073
1130,Doddathoguru,2 BHK,940.0,2.0,32.9,2,3500.0
1131,Doddathoguru,2 BHK,1107.0,2.0,44.0,2,3974.706413730804
1132,Domlur,3 BHK,1875.0,2.0,150.0,3,8000.0
1133,Domlur,1 BHK,640.0,1.0,55.0,1,8593.75
1134,Domlur,2 BHK,1050.0,2.0,85.0,2,8095.238095238095
1135,Domlur,3 BHK,1800.0,3.0,150.0,3,8333.333333333334
1136,Domlur,3 BHK,1720.0,3.0,135.0,3,7848.837209302325
1137,Domlur,3 BHK,1950.0,3.0,165.0,3,8461.538461538461
1138,Domlur,1 BHK,780.0,1.0,70.0,1,8974.358974358975
1139,Domlur,3 BHK,1740.0,3.0,120.0,3,6896.551724137931
1140,Domlur,3 BHK,1695.0,3.0,125.0,3,7374.6312684365785
1141,Domlur,2 BHK,1246.0,2.0,95.0,2,7624.398073836276
1142,Domlur,3 BHK,2100.0,3.0,145.0,3,6904.761904761905
1143,Domlur,3 BHK,1850.0,3.0,180.0,3,9729.72972972973
1144,Domlur,3 BHK,2955.0,3.0,235.0,3,7952.622673434857
1145,Dommasandra,2 BHK,805.0,2.0,22.14,2,2750.3105590062114
1146,Dommasandra,2 BHK,1153.0,2.0,43.5,2,3772.7666955767563
1147,Dommasandra,2 BHK,1090.0,2.0,43.5,2,3990.8256880733943
1148,Dommasandra,2 BHK,850.0,2.0,25.4,2,2988.235294117647
1149,Dommasandra,2 BHK,674.0,1.0,19.9,2,2952.522255192878
1150,Dommasandra,2 BHK,999.0,2.0,32.9,2,3293.293293293293
1151,EPIP Zone,3 BHK,1499.0,5.0,102.0,3,6804.536357571715
1152,EPIP Zone,2 BHK,1285.0,2.0,82.0,2,6381.322957198444
1153,EPIP Zone,3 BHK,2330.0,3.0,162.0,3,6952.789699570815
1154,EPIP Zone,2 BHK,1330.0,2.0,92.5,2,6954.887218045113
1155,EPIP Zone,2 BHK,1330.0,2.0,86.98,2,6539.849624060151
1156,EPIP Zone,2 BHK,1330.0,2.0,93.36,2,7019.548872180451
1157,EPIP Zone,3 BHK,1500.0,3.0,102.0,3,6800.0
1158,EPIP Zone,2 BHK,1343.0,2.0,86.0,2,6403.574087862993
1159,EPIP Zone,3 BHK,2350.0,4.0,163.0,3,6936.170212765957
1160,EPIP Zone,3 BHK,1860.0,3.0,130.0,3,6989.247311827957
1161,EPIP Zone,3 BHK,2710.0,3.0,177.0,3,6531.365313653137
1163,Electronic City,2 BHK,1060.0,2.0,60.0,2,5660.377358490566
1164,Electronic City,2 BHK,1152.0,2.0,64.5,2,5598.958333333333
1168,Electronic City,1 BHK,589.0,1.0,27.0,1,4584.040747028863
1169,Electronic City,2 BHK,1108.0,2.0,63.0,2,5685.9205776173285
1170,Electronic City,2 BHK,1128.0,2.0,65.0,2,5762.41134751773
1171,Electronic City,3 BHK,1800.0,3.0,95.0,3,5277.777777777777
1172,Electronic City,1 BHK,630.0,1.0,34.65,1,5500.0
1173,Electronic City,2 BHK,1128.0,2.0,63.0,2,5585.106382978724
1174,Electronic City,2 BHK,1070.0,2.0,55.0,2,5140.186915887851
1175,Electronic City,2 BHK,1342.0,2.0,73.3,2,5461.997019374068
1178,Electronic City,2 BHK,1128.0,2.0,65.49,2,5805.851063829787
1179,Electronic City,2 BHK,1070.0,2.0,56.1,2,5242.990654205608
1180,Electronic City,2 BHK,890.0,2.0,45.0,2,5056.179775280899
1181,Electronic City,2 BHK,1128.0,2.0,65.65,2,5820.035460992909
1184,Electronic City,3 BHK,1360.0,2.0,75.0,3,5514.705882352941
1185,Electronic City,2 BHK,770.0,1.0,40.0,2,5194.805194805195
1186,Electronic City,2 BHK,1128.0,2.0,64.0,2,5673.758865248227
1187,Electronic City,2 BHK,1070.0,2.0,54.0,2,5046.728971962617
1188,Electronic City,3 BHK,1571.0,3.0,89.0,3,5665.1814131126675
1191,Electronic City,3 BHK,1374.0,2.0,72.0,3,5240.174672489083
1192,Electronic City,2 BHK,1128.0,2.0,65.35,2,5793.439716312056
1193,Electronic City,2 BHK,1128.0,2.0,65.0,2,5762.41134751773
1195,Electronic City,3 BHK,1563.0,3.0,91.84,3,5875.879718490083
1196,Electronic City,2 BHK,1025.0,2.0,54.5,2,5317.073170731707
1198,Electronic City,1 BHK,700.0,1.0,35.0,1,5000.0
1200,Electronic City,2 BHK,1152.0,2.0,65.0,2,5642.361111111111
1201,Electronic City,2 BHK,1070.0,2.0,60.0,2,5607.476635514019
1202,Electronic City,2 BHK,1128.0,2.0,65.5,2,5806.737588652482
1203,Electronic City,2 BHK,1200.0,2.0,59.0,2,4916.666666666667
1204,Electronic City,2 BHK,1152.0,2.0,65.75,2,5707.465277777777
1205,Electronic City,2 BHK,1070.0,2.0,55.0,2,5140.186915887851
1206,Electronic City,2 BHK,1060.0,2.0,58.0,2,5471.698113207547
1207,Electronic City,2 BHK,1025.0,2.0,54.1,2,5278.048780487805
1210,Electronic City,3 BHK,1575.0,3.0,90.0,3,5714.285714285715
1211,Electronic City,1 RK,435.0,1.0,19.5,1,4482.758620689655
1212,Electronic City,2 BHK,1125.0,2.0,58.0,2,5155.555555555556
1214,Electronic City,2 BHK,1363.0,2.0,79.0,2,5796.038151137197
1215,Electronic City,2 BHK,1128.0,2.0,65.7,2,5824.468085106383
1218,Electronic City,2 BHK,1070.0,2.0,58.0,2,5420.560747663551
1223,Electronic City,2 BHK,1073.0,2.0,60.0,2,5591.798695246971
1225,Electronic City,2 BHK,1296.0,2.0,65.0,2,5015.432098765432
1227,Electronic City,2 BHK,1025.0,2.0,53.9,2,5258.536585365854
1228,Electronic City,2 BHK,940.0,2.0,54.0,2,5744.68085106383
1229,Electronic City,1 BHK,435.0,1.0,21.0,1,4827.586206896552
1232,Electronic City,2 BHK,1355.0,2.0,67.0,2,4944.649446494465
1233,Electronic City,1 BHK,435.0,1.0,22.0,1,5057.471264367816
1235,Electronic City,2 BHK,770.0,1.0,39.9,2,5181.818181818182
1236,Electronic City,2 BHK,1128.0,2.0,64.0,2,5673.758865248227
1237,Electronic City,2 BHK,1070.0,2.0,53.0,2,4953.271028037383
1238,Electronic City,3 BHK,1571.0,3.0,83.0,3,5283.259070655633
1240,Electronic City,2 BHK,1128.0,2.0,65.58,2,5813.829787234043
1241,Electronic City,1 BHK,635.0,1.0,28.0,1,4409.4488188976375
1242,Electronic City,2 BHK,1128.0,2.0,65.4,2,5797.8723404255325
1243,Electronic City,2 BHK,1355.0,2.0,72.9,2,5380.073800738008
1246,Electronic City,2 BHK,1108.0,2.0,63.0,2,5685.9205776173285
1249,Electronic City,1 BHK,635.0,1.0,28.0,1,4409.4488188976375
1250,Electronic City,2 BHK,1128.0,2.0,65.45,2,5802.304964539007
1252,Electronic City,1 BHK,630.0,1.0,33.7,1,5349.20634920635
1253,Electronic City,1 RK,550.0,1.0,27.0,1,4909.090909090909
1255,Electronic City,2 BHK,1070.0,2.0,55.0,2,5140.186915887851
1256,Electronic City,2 BHK,1342.0,2.0,72.0,2,5365.126676602086
1257,Electronic City,3 BHK,1275.0,3.0,70.0,3,5490.196078431372
1258,Electronic City,2 BHK,770.0,1.0,38.0,2,4935.064935064935
1259,Electronic City,3 BHK,1644.0,3.0,92.59,3,5631.995133819952
1260,Electronic City,2 BHK,1250.0,2.0,62.0,2,4960.0
1261,Electronic City,2 BHK,1128.0,2.0,64.8,2,5744.68085106383
1262,Electronic City,2 BHK,1060.0,2.0,55.0,2,5188.679245283019
1263,Electronic City,1 BHK,710.0,1.0,40.42,1,5692.957746478874
1266,Electronic City,2 BHK,1060.0,2.0,55.0,2,5188.679245283019
1267,Electronic City,2 BHK,1353.0,2.0,75.0,2,5543.2372505543235
1268,Electronic City,2 BHK,1128.0,2.0,67.0,2,5939.7163120567375
1269,Electronic City,2 BHK,1070.0,2.0,57.0,2,5327.102803738318
1270,Electronic City,3 BHK,1700.0,3.0,90.0,3,5294.117647058823
1271,Electronic City,1 BHK,750.0,1.0,35.0,1,4666.666666666667
1273,Electronic City,2 BHK,1070.0,2.0,60.0,2,5607.476635514019
1274,Electronic City,2 BHK,1221.0,2.0,68.0,2,5569.205569205569
1277,Electronic City,2 BHK,1128.0,2.0,63.5,2,5629.432624113475
1278,Electronic City,1 BHK,589.0,1.0,29.0,1,4923.599320882852
1280,Electronic City,2 BHK,1025.0,2.0,54.0,2,5268.292682926829
1282,Electronic City,2 BHK,1355.0,2.0,73.0,2,5387.453874538745
1285,Electronic City Phase II,2 BHK,1056.0,2.0,39.07,2,3699.810606060606
1286,Electronic City Phase II,2 BHK,1020.0,2.0,30.6,2,3000.0
1287,Electronic City Phase II,2 BHK,1069.0,2.0,45.0,2,4209.541627689429
1288,Electronic City Phase II,1 BHK,630.0,1.0,28.35,1,4500.0
1289,Electronic City Phase II,4 BHK,2225.0,4.0,98.88,4,4444.044943820225
1290,Electronic City Phase II,2 BHK,775.0,2.0,38.0,2,4903.225806451613
1291,Electronic City Phase II,2 BHK,1266.0,2.0,59.0,2,4660.347551342812
1292,Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2,2888.0
1293,Electronic City Phase II,2 BHK,972.0,2.0,44.0,2,4526.748971193416
1294,Electronic City Phase II,2 BHK,1003.0,2.0,40.6,2,4047.8564307078764
1295,Electronic City Phase II,3 BHK,1395.0,2.0,62.78,3,4500.358422939068
1296,Electronic City Phase II,2 BHK,1160.0,2.0,33.5,2,2887.9310344827586
1297,Electronic City Phase II,2 BHK,1065.0,2.0,30.75,2,2887.323943661972
1298,Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2,2888.0
1299,Electronic City Phase II,2 BHK,900.0,2.0,32.5,2,3611.1111111111113
1300,Electronic City Phase II,3 BHK,1418.0,3.0,52.47,3,3700.2820874471086
1301,Electronic City Phase II,2 BHK,1070.0,2.0,45.0,2,4205.607476635514
1302,Electronic City Phase II,2 BHK,1140.0,2.0,33.06,2,2900.0
1303,Electronic City Phase II,2 BHK,1089.0,2.0,32.67,2,3000.0
1304,Electronic City Phase II,2 BHK,1160.0,2.0,33.5,2,2887.9310344827586
1305,Electronic City Phase II,3 BHK,975.0,2.0,45.0,3,4615.384615384615
1306,Electronic City Phase II,4 Bedroom,6000.0,4.0,260.0,4,4333.333333333333
1307,Electronic City Phase II,2 BHK,1116.0,2.0,37.0,2,3315.4121863799282
1308,Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2,2888.0
1309,Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2,2888.0
1310,Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2,2888.0
1311,Electronic City Phase II,4 Bedroom,3550.0,2.0,167.5,4,4718.30985915493
1312,Electronic City Phase II,2 BHK,1065.0,2.0,30.88,2,2899.5305164319248
1313,Electronic City Phase II,2 BHK,920.0,2.0,26.0,2,2826.086956521739
1314,Electronic City Phase II,2 BHK,1140.0,2.0,33.84,2,2968.421052631579
1315,Electronic City Phase II,3 BHK,875.0,2.0,40.0,3,4571.428571428572
1316,Electronic City Phase II,2 BHK,1125.0,2.0,32.49,2,2888.0
